t (s),w,Pr,1-Pr,Cum(1-Pr),1-Cum(1-Pr)
0,0,0,1,1,0
15,2.5,0.016666666666667,0.983333333333333,0.983333333333333,0.016666666666667
30,5,0.033333333333333,0.966666666666667,0.950555555555556,0.049444444444444
45,7.5,0.05,0.95,0.903027777777778,0.096972222222222
60,10,0.066666666666667,0.933333333333333,0.842825925925926,0.157174074074074
75,12.5,0.083333333333333,0.916666666666667,0.772590432098765,0.227409567901235
90,15,0.1,0.9,0.695331388888889,0.304668611111111
105,17.5,0.116666666666667,0.883333333333333,0.614209393518518,0.385790606481482
120,20,0.133333333333333,0.866666666666667,0.532314807716049,0.467685192283951
135,22.5,0.15,0.85,0.452467586558642,0.547532413441358
150,25,0.166666666666667,0.833333333333333,0.377056322132202,0.622943677867798
165,27.5,0.183333333333333,0.816666666666667,0.307929329741298,0.692070670258702
180,30,0.2,0.8,0.246343463793038,0.753656536206962
195,32.5,0.216666666666667,0.783333333333333,0.19296904663788,0.80703095336212
210,35,0.233333333333333,0.766666666666667,0.147942935755708,0.852057064244292
225,37.5,0.25,0.75,0.110957201816781,0.889042798183219
240,40,0.266666666666667,0.733333333333333,0.081368614665639,0.918631385334361
255,42.5,0.283333333333333,0.716666666666667,0.058314173843708,0.941685826156292
270,45,0.3,0.7,0.040819921690596,0.959180078309404
285,47.5,0.316666666666667,0.683333333333333,0.02789361315524,0.97210638684476
300,50,0.333333333333333,0.666666666666667,0.018595742103494,0.981404257896506
